,español,ingles
0,b'AUTOR DE MAYOR VENTAS DEL NEW YORK LIMES  JOHN C.MAXWELL AUTOR DE  L A S 2 1 L E Y E S I R R E F V TA B I,B NEW WINTER SALES ENVELOPE LIMAS JOHN C.MAXWELL AUTHOR OF L A S 2 1 L E Y E S I R E F V TA B I
1, E S I ) E I. L l D E R A Z G O  iVIVE TU SUEÑO!  10 PREGUNTAS  que te AYUDARAN A VERLO y OBTENERLO  BILLYBO  BILLYBO BILLYBO  CONTENIDO  Introduccion:  Cual es tu sueño? Vil  CAPITULO 1 La pregunta de la posesion:  Es este sueño realmente mi sueño? 1  CAPITULO 2 La pregunta de la claridad:  Puedo ver mi sueño claramente? 25  CAPITULO 3 La pregunta de la realidad:  Estoy dependiendo de factores bajo mi control para lograr mi sueño? 48  CAPITULO 4 La pregunta de la pasion:  Me impidsa mi sueño a seguirlo? 76  CAPITULO 5 La pregunta del camino:   Tengo una estrategia para alcanzar mi sueño?    00  CAPITULO 6 La pregunta del personal:  He incluido a las personas que necesito para convertir mi sueño en realidad? J25  v  BILLYBO  Contenido  CAPITULO 7 La pregunta del costo:  Estoy dispuesto a pagar el precio de mi sueño? 149  CAPI! UI.O 8 La pregunta de la tenacidad:  Me estoy acercando a mi sueño? 173  CAPITULO 9 La pregunta de la satisfaccion:  Me trae satisfaccion trabajar para cumplir mi sueño?    98  CAPITULO 10 La pregunta de la trascendencia:  Se benefician otros con mi sueño? 218  Conclusion: Mirando hacia atras... Mirando hacia delante  241 Notas  Acerca del autor 247  vi  INTRODUCCION   Cual es tu sueño?   Lograras tus sueños en tu vida? No dudo que aspiras a que asi sea; estoy seguro de que esperas que asi sea.  Pero lo lograras en realidad?  Que probabilidades te das a ti mismo?  Una en cinco?  Una en cien?  Una en un millon?  Como puedes saber si tus probabilidades son buenas o si tu sueño nunca dejara de ser precisamente eso: un sueño?  Cual es tu sueño?  Estas dispuesto a ponerlo a prueba?  La mayoria de las personas que conozco tienen un sueño. De hecho,E S I) E I. L l D E R A Z G O LIVE YOUR DREAM! 10 QUESTIONS THAT WILL HELP YOU SEE AND GET IT BILLYBO BILLYBO BILLYBO CONTENT Introduction: What is your dream? VII CHAPTER 1 The question of possession: Is this dream really my dream? 1 CHAPTER 2 The question of clarity: Can I see my dream clearly? 25 CHAPTER 3 The reality question: Am I depending on factors under my control to achieve my dream? 48 CHAPTER 4 The question of passion: Does my dream impede me to follow it? 76 CHAPTER 5 The question of the way: Do I have a strategy to achieve my dream? 00 CHAPTER 6 The staff question: Have I included the people I need to make my dream come true? J25 v BILLYBO Contents CHAPTER 7 The cost question: Am I willing to pay the price of my dream? 149 CAPI! UI.O 8 The question of tenacity: I'm getting closer to my dream? 173 CHAPTER 9 The Satisfaction Question: Does it bring me satisfaction to work to fulfill my dream? 98 CHAPTER 10 The question of transcendence: Do others benefit from my dream? 218 Conclusion: Looking back ... Looking ahead 241 Notes About the author 247 vi INTRODUCTION What is your dream? Will you achieve your dreams in your life? I do not doubt that you aspire to so be it; I'm sure you hope so. But will you really achieve it? What odds do you give yourself? One in five? One in a hundred? One in a million? How can you tell if your odds are good or if your dream never stops being just that: a dream? What is your dream? Are you willing to put it to the test? Most people I know have a dream. In fact
2, le he preguntado a cientos,I've asked hundreds
3, por no decir miles,not to say thousands
4, de personas en cuanto a sus sueños. Algunos los describen voluntariamente con mucho detalle y entusiasmo. Otros son renuentes a hablar de ello. Pareciera que les abochorna decirlo en voz alta. Estas personas nunca han puesto a prueba su sueño. No saben si otros se burlaran de ellos. No estan seguros si estan apuntando muy alto o muy bajo. No saben si se trata de algo que realmente pueden lograr o si estan destinados a fracasar.  La mayoria de las personas no tienen idea de como lograr sus sueños. Lo que poseen es una nocion vaga de algo que les gustaria hacer algun dia,of people regarding their dreams. Some describe them voluntarily with much detail and enthusiasm. Others are reluctant to talk about it. It seems embarrassing to say it out loud. These people have never put their dream to the test. They do not know if others make fun of them. They are not sure if they are pointing too high or too low. They do not know if it is something they can really achieve or if they are destined to fail. Most people have no idea how to achieve their dreams. What they have is a vague notion of something they would like to do someday
5, o alguien en quien desearian transformarse. Sin embargo,or someone in whom they would like to transform themselves. But nevertheless
6, no saben como llegar de aqui a alla. Si eso te describe,They do not know how to get from here to there. If that describes you
7,  vii   Cual es tu sueño?  entonces te alegrara saber que realmente hay esperanza,vii What is your dream? then you'll be glad to know that there really is hope
8, y creo que este libro te ayudara.  CONOCE LAS RESPUESTAS ANTES DE SOMETERTE A LA PRUEBA  Cuando eras niño en la escuela,and I think this book will help you. KNOW THE ANSWERS BEFORE SUBMITTING TO THE TEST When you were a child at school
9,  recuerdas que alguna vez el maestro hiciera un repaso antes de un examen y dijera algo como: Presten atencion a esto porque vendra en el examen? Yo si. Los maestros alentadores que quieren ver a sus estudiantes sobresalir dicen cosas asi todo el tiempo. Querian que estuvieramos preparados para salir bien. Nos sometieron a prueba,Do you remember that once the teacher did a review before an exam and said something like: Pay attention to this because it will come in the exam? I do. Encouraging teachers who want to see their students excel say things like that all the time. They wanted us to be ready to go well. We were tested
